time,n,URef,J,KT,10KQ,eta0,tours,angle_deg
0.00434375,2.515000e+01,-4.998777e+00,8.741327e-01,2.775926e-01,6.230609e-01,6.198332e-01,0.109230,39.3228
0.004375,2.515000e+01,-4.998964e+00,8.741654e-01,2.772698e-01,6.231325e-01,6.190643e-01,0.110016,39.6057
0.00440625,2.515000e+01,-4.999128e+00,8.741941e-01,2.764975e-01,6.233068e-01,6.171875e-01,0.110802,39.8886
0.0044375,2.515000e+01,-4.999317e+00,8.742271e-01,2.766932e-01,6.224839e-01,6.184645e-01,0.111588,40.1715
0.00446875,2.515000e+01,-4.999513e+00,8.742613e-01,2.764891e-01,6.217715e-01,6.187406e-01,0.112373,40.4544
0.0045,2.515000e+01,-4.999734e+00,8.743000e-01,2.768738e-01,6.212597e-01,6.201391e-01,0.113159,40.7373
0.00453125,2.515000e+01,-4.999947e+00,8.743373e-01,2.765635e-01,6.212197e-01,6.195103e-01,0.113945,41.0202
0.0045625,2.515000e+01,-5.000139e+00,8.743707e-01,2.758133e-01,6.210112e-01,6.180613e-01,0.114731,41.3031
0.00459375,2.515000e+01,-5.000340e+00,8.744059e-01,2.757643e-01,6.205010e-01,6.184846e-01,0.115517,41.5860
0.004625,2.515000e+01,-5.000539e+00,8.744407e-01,2.752931e-01,6.198555e-01,6.180951e-01,0.116302,41.8689
0.00465625,2.515000e+01,-5.000747e+00,8.744772e-01,2.750103e-01,6.189952e-01,6.183441e-01,0.117088,42.1518
0.0046875,2.515000e+01,-5.000960e+00,8.745143e-01,2.747175e-01,6.182207e-01,6.184859e-01,0.117874,42.4347
0.00471875,2.515000e+01,-5.001115e+00,8.745414e-01,2.730506e-01,6.181786e-01,6.147941e-01,0.118660,42.7176
0.00475,2.515000e+01,-5.001270e+00,8.745685e-01,2.729543e-01,6.181681e-01,6.146069e-01,0.119446,43.0005
0.00478125,2.515000e+01,-5.001429e+00,8.745963e-01,2.730465e-01,6.184129e-01,6.145905e-01,0.120232,43.2834
0.0048125,2.515000e+01,-5.001615e+00,8.746289e-01,2.732791e-01,6.175905e-01,6.159560e-01,0.121017,43.5663
0.00484375,2.515000e+01,-5.001825e+00,8.746657e-01,2.734463e-01,6.164469e-01,6.175023e-01,0.121803,43.8492
0.004875,2.515000e+01,-5.002019e+00,8.746995e-01,2.726876e-01,6.159936e-01,6.162658e-01,0.122589,44.1321
0.00490625,2.515000e+01,-5.002211e+00,8.747331e-01,2.723421e-01,6.156434e-01,6.158589e-01,0.123375,44.4150
0.0049375,2.515000e+01,-5.002399e+00,8.747661e-01,2.721592e-01,6.156298e-01,6.154822e-01,0.124161,44.6979
0.00496875,2.515000e+01,-5.002590e+00,8.747994e-01,2.718097e-01,6.150559e-01,6.152888e-01,0.124947,44.9808
0.005,2.515000e+01,-5.002775e+00,8.748319e-01,2.715226e-01,6.149311e-01,6.147863e-01,0.125732,45.2637
0.00503125,2.515000e+01,-5.002975e+00,8.748667e-01,2.714101e-01,6.140860e-01,6.154020e-01,0.126518,45.5466
0.0050625,2.515000e+01,-5.003165e+00,8.748999e-01,2.707970e-01,6.133715e-01,6.147502e-01,0.127304,45.8295
0.00509375,2.515000e+01,-5.003340e+00,8.749306e-01,2.700359e-01,6.127640e-01,6.136520e-01,0.128090,46.1124
0.005125,2.515000e+01,-5.003505e+00,8.749594e-01,2.695212e-01,6.126081e-01,6.126579e-01,0.128876,46.3953
0.00515625,2.515000e+01,-5.003693e+00,8.749923e-01,2.700389e-01,6.124733e-01,6.139930e-01,0.129662,46.6782
0.0051875,2.515000e+01,-5.003893e+00,8.750273e-01,2.703083e-01,6.123638e-01,6.147402e-01,0.130447,46.9611
0.00521875,2.515000e+01,-5.004078e+00,8.750597e-01,2.695208e-01,6.116241e-01,6.137130e-01,0.131233,47.2440
0.00525,2.515000e+01,-5.004250e+00,8.750898e-01,2.686419e-01,6.107279e-01,6.126303e-01,0.132019,47.5268
0.00528125,2.515000e+01,-5.004421e+00,8.751197e-01,2.680872e-01,6.100008e-01,6.121151e-01,0.132805,47.8097
0.0053125,2.515000e+01,-5.004602e+00,8.751512e-01,2.680787e-01,6.097139e-01,6.124060e-01,0.133591,48.0926
0.00534375,2.515000e+01,-5.004797e+00,8.751853e-01,2.683038e-01,6.094617e-01,6.131980e-01,0.134377,48.3755
0.005375,2.515000e+01,-5.004986e+00,8.752184e-01,2.681780e-01,6.096670e-01,6.127274e-01,0.135162,48.6584
0.00540625,2.515000e+01,-5.005179e+00,8.752521e-01,2.679414e-01,6.091347e-01,6.127448e-01,0.135948,48.9413
0.0054375,2.515000e+01,-5.005366e+00,8.752848e-01,2.672546e-01,6.082281e-01,6.121085e-01,0.136734,49.2242
0.00546875,2.515000e+01,-5.005538e+00,8.753149e-01,2.664015e-01,6.074894e-01,6.109177e-01,0.137520,49.5071
0.0055,2.515000e+01,-5.005719e+00,8.753466e-01,2.663501e-01,6.070176e-01,6.112962e-01,0.138306,49.7900
0.00553125,2.515000e+01,-5.005911e+00,8.753801e-01,2.667145e-01,6.071250e-01,6.120480e-01,0.139091,50.0729
0.0055625,2.515000e+01,-5.006113e+00,8.754155e-01,2.667808e-01,6.067917e-01,6.125609e-01,0.139877,50.3558
0.00559375,2.515000e+01,-5.006274e+00,8.754436e-01,2.654001e-01,6.066001e-01,6.096028e-01,0.140663,50.6387
0.005625,2.515000e+01,-5.006437e+00,8.754721e-01,2.645962e-01,6.051727e-01,6.092095e-01,0.141449,50.9216
0.00565625,2.515000e+01,-5.006601e+00,8.755008e-01,2.641454e-01,6.044435e-01,6.089254e-01,0.142235,51.2045
0.0056875,2.515000e+01,-5.006788e+00,8.755334e-01,2.647181e-01,6.043508e-01,6.103620e-01,0.143021,51.4874
0.00571875,2.515000e+01,-5.006969e+00,8.755652e-01,2.646117e-01,6.045362e-01,6.099516e-01,0.143806,51.7703
0.00575,2.515000e+01,-5.007158e+00,8.755983e-01,2.647838e-01,6.043361e-01,6.105733e-01,0.144592,52.0532
0.00578125,2.515000e+01,-5.007356e+00,8.756329e-01,2.647142e-01,6.039317e-01,6.108458e-01,0.145378,52.3361
0.0058125,2.515000e+01,-5.007542e+00,8.756654e-01,2.637474e-01,6.030056e-01,6.095719e-01,0.146164,52.6190
0.00584375,2.515000e+01,-5.007725e+00,8.756973e-01,2.633370e-01,6.025123e-01,6.091446e-01,0.146950,52.9019
0.005875,2.515000e+01,-5.007908e+00,8.757293e-01,2.631896e-01,6.020989e-01,6.092432e-01,0.147736,53.1848
0.00590625,2.515000e+01,-5.008099e+00,8.757627e-01,2.631356e-01,6.016167e-01,6.096299e-01,0.148521,53.4677
0.0059375,2.515000e+01,-5.008292e+00,8.757964e-01,2.630015e-01,6.014171e-01,6.095449e-01,0.149307,53.7506
0.00596875,2.515000e+01,-5.008454e+00,8.758249e-01,2.616534e-01,6.008532e-01,6.070093e-01,0.150093,54.0335
0.006,2.515000e+01,-5.008631e+00,8.758558e-01,2.617044e-01,6.003088e-01,6.076997e-01,0.150879,54.3164
0.00603226,2.515000e+01,-5.008816e+00,8.758881e-01,2.616792e-01,5.995417e-01,6.084414e-01,0.151690,54.6084
0.00606452,2.515000e+01,-5.009013e+00,8.759226e-01,2.618324e-01,5.993637e-01,6.090021e-01,0.152501,54.9005
0.00609677,2.515000e+01,-5.009209e+00,8.759569e-01,2.615421e-01,5.990289e-01,6.086907e-01,0.153312,55.1924
0.00612903,2.515000e+01,-5.009399e+00,8.759901e-01,2.612392e-01,5.989499e-01,6.080891e-01,0.154124,55.4845
0.00616129,2.515000e+01,-5.009588e+00,8.760231e-01,2.609201e-01,5.985676e-01,6.077572e-01,0.154935,55.7765
0.00619355,2.515000e+01,-5.009761e+00,8.760534e-01,2.600649e-01,5.980111e-01,6.063497e-01,0.155746,56.0686
0.00622581,2.515000e+01,-5.009944e+00,8.760854e-01,2.599816e-01,5.974693e-01,6.067274e-01,0.156557,56.3606
0.00625806,2.515000e+01,-5.010134e+00,8.761186e-01,2.600445e-01,5.970292e-01,6.073445e-01,0.157368,56.6525
0.00629032,2.515000e+01,-5.010322e+00,8.761514e-01,2.596238e-01,5.964932e-01,6.069297e-01,0.158179,56.9446
0.00632258,2.515000e+01,-5.010509e+00,8.761842e-01,2.590566e-01,5.957750e-01,6.063564e-01,0.158991,57.2366
0.00635484,2.515000e+01,-5.010696e+00,8.762169e-01,2.589828e-01,5.957313e-01,6.062506e-01,0.159802,57.5287
0.0063871,2.515000e+01,-5.010892e+00,8.762513e-01,2.592249e-01,5.957145e-01,6.068585e-01,0.160613,57.8207
0.00641935,2.515000e+01,-5.011082e+00,8.762845e-01,2.590235e-01,5.954886e-01,6.066400e-01,0.161424,58.1127
0.00645161,2.515000e+01,-5.011274e+00,8.763180e-01,2.587739e-01,5.951453e-01,6.064281e-01,0.162235,58.4047
0.00648387,2.515000e+01,-5.011470e+00,8.763522e-01,2.582376e-01,5.941986e-01,6.061592e-01,0.163047,58.6967
0.00651613,2.515000e+01,-5.011664e+00,8.763862e-01,2.581564e-01,5.941349e-01,6.060570e-01,0.163858,58.9888
